# header	class	node
PedalCircuits.h	BigMuffOutputBooster	PtpBigMuffOutputBooster
PedalCircuits.h	BigMuffToneStage	PtpBigMuffToneStage
PedalCircuits.h	BossBD2ClippingStage	PtpBossBD2ClippingStage
PedalCircuits.h	BossDS1OpAmpGainStage	PtpBossDS1OpAmpGainStage
PedalCircuits.h	BossDS1ToneStage	PtpBossDS1ToneStage
PedalCircuits.h	DOD_FX70C_ToneStage	PtpDODFX70CToneStage
PedalCircuits.h	ElectraDistortion	PtpElectraDistortion
PedalCircuits.h	JHSMorningGloryDriveStage_A	PtpJHSMorningGloryDriveStageA
PedalCircuits.h	JHSMorningGloryDriveStage_B	PtpJHSMorningGloryDriveStageB
PedalCircuits.h	JHSMorningGloryInputStage	PtpJHSMorningGloryInputStage
PedalCircuits.h	JHSMorningGloryToneStage	PtpJHSMorningGloryToneStage
PedalCircuits.h	KlonCentaurToneControl	PtpKlonCentaurToneControl
PedalCircuits.h	MarshallGuvnorClippingStage	PtpMarshallGuvnorClippingStage
PedalCircuits.h	MarshallGuvnorInputStage	PtpMarshallGuvnorInputStage
PedalCircuits.h	MarshallGuvnorOutputStage	PtpMarshallGuvnorOutputStage
PedalCircuits.h	MarshallGuvnorToneControl	PtpMarshallGuvnorToneControl
PedalCircuits.h	MatchlessHotboxToneControl	PtpMatchlessHotboxToneControl
PedalCircuits.h	MXRDistortionPlus	PtpMXRDistortionPlus
PedalCircuits.h	ProCoRat	PtpProCoRat
PedalCircuits.h	TubeScreamerInputBuffer	PtpTubeScreamerInputBuffer
PedalCircuits.h	TubeScreamerToneStage	PtpTubeScreamerToneStage
PedalCircuits.h	Vox1901	PtpVox1901
ClippingCircuits.h	BiasDiodeGE_A	PtpBiasDiodeGEA
ClippingCircuits.h	BiasDiodeGE_B	PtpBiasDiodeGEB
ClippingCircuits.h	BiasDiodeSI_A	PtpBiasDiodeSIA
ClippingCircuits.h	BiasDiodeSI_B	PtpBiasDiodeSIB
ClippingCircuits.h	BJT_NPN_GE	PtpBJTNPNGE
ClippingCircuits.h	BJT_NPN_SI	PtpBJTNPNSI
ClippingCircuits.h	DiodeHardGE	PtpDiodeHardGE
ClippingCircuits.h	DiodeHardSI	PtpDiodeHardSI
ClippingCircuits.h	DiodeHPF_GE	PtpDiodeHPFGE
ClippingCircuits.h	DiodeHPF_SI	PtpDiodeHPFSI
ClippingCircuits.h	DiodeLPF_GE	PtpDiodeLPFGE
ClippingCircuits.h	DiodeLPF_SI	PtpDiodeLPFSI
ClippingCircuits.h	DiodeSoftGE	PtpDiodeSoftGE
ClippingCircuits.h	DiodeSoftSI	PtpDiodeSoftSI
ClippingCircuits.h	FullwaveRectifierSI	PtpFullwaveRectifierSI
ClippingCircuits.h	HalfwaveRectifierSI	PtpHalfwaveRectifierSI
ClippingCircuits.h	StaticBJT_NPN_GE	PtpStaticBJTNPNGE
ClippingCircuits.h	StaticBJT_NPN_SI	PtpStaticBJTNPNSI
ClippingCircuits.h	StaticBJT_PNP_GE	PtpStaticBJTPNPGE
ClippingCircuits.h	StaticBJT_PNP_SI	PtpStaticBJTPNPSI
ClippingCircuits.h	StaticDiodeHardGE	PtpStaticDiodeHardGE
ClippingCircuits.h	StaticDiodeHardSI	PtpStaticDiodeHardSI
ClippingCircuits.h	StaticDiodeSoftGE	PtpStaticDiodeSoftGE
ClippingCircuits.h	StaticDiodeSoftSI	PtpStaticDiodeSoftSI
ClippingCircuits.h	StaticTubeCleanA	PtpStaticTubeCleanA
ClippingCircuits.h	StaticTubeCleanB	PtpStaticTubeCleanB
ClippingCircuits.h	StaticTubeDirtyA	PtpStaticTubeDirtyA
ClippingCircuits.h	StaticTubeDirtyB	PtpStaticTubeDirtyB
